nm, A
1856.000000, 0.157545
1855.000000, 0.111063
1854.000000, 0.031280
1853.000000, 0.292906
1852.000000, 0.175893
1851.000000, 0.193211
1850.000000, 0.450734
1849.000000, 0.153597
1848.000000, 0.392348
1847.000000, 0.327044
1846.000000, 0.351869
1845.000000, 0.166745
1844.000000, 0.043522
1843.000000, 0.134975
1842.000000, 0.074560
1841.000000, 0.190498
1840.000000, 0.168152
1839.000000, 0.150947
1838.000000, 0.084712
1837.000000, 0.097703
1836.000000, 0.190401
1835.000000, 0.329264
1834.000000, 0.106786
1833.000000, 0.034240
1832.000000, 0.340750
1831.000000, 0.326570
1830.000000, 0.078025
1829.000000, 0.131954
1828.000000, 0.240347
1827.000000, 0.273486
1826.000000, 0.150120
1825.000000, 0.024405
1824.000000, 0.138979
1823.000000, 0.065123
1822.000000, 0.146843
1821.000000, 0.095249
1820.000000, 0.108648
1819.000000, 0.081829
1818.000000, 0.113925
1817.000000, 0.138605
1816.000000, 0.079161
1815.000000, 0.080350
1814.000000, 0.116675
1813.000000, 0.194028
1812.000000, 0.186290
1811.000000, 0.221006
1810.000000, 0.145226
1809.000000, 0.102632
1808.000000, 0.234791
1807.000000, 0.225134
1806.000000, 0.054336
1805.000000, 0.067842
1804.000000, 0.238086
1803.000000, 0.151979
1802.000000, 0.052085
1801.000000, 0.014454
1800.000000, 0.047540
1799.000000, 0.081865
1798.000000, 0.059033
1797.000000, 0.146175
1796.000000, 0.064953
1795.000000, 0.028910
1794.000000, 0.184130
1793.000000, 0.130727
1792.000000, 0.072783
1791.000000, 0.052364
1790.000000, 0.108826
1789.000000, 0.313856
1788.000000, 0.301335
1787.000000, 0.204871
1786.000000, 0.058227
1785.000000, 0.061285
1784.000000, 0.139234
1783.000000, 0.132105
1782.000000, 0.131263
1781.000000, 0.246686
1780.000000, 0.056566
1779.000000, 0.148484
1778.000000, 0.184921
1777.000000, -0.001427
1776.000000, 0.225061
1775.000000, 0.033558
1774.000000, 0.150871
1773.000000, 0.122581
1772.000000, 0.236010
1771.000000, 0.474709
1770.000000, 0.260739
1769.000000, 0.272063
1768.000000, 0.351433
1767.000000, 0.239894
1766.000000, 0.303578
1765.000000, 0.076185
1764.000000, 0.380219
1763.000000, 0.153447
1762.000000, 0.253602
1761.000000, 0.239980
1760.000000, 0.312368
1759.000000, 0.332389
1758.000000, 0.789299
1757.000000, 0.250970
1756.000000, 0.162251
1755.000000, 0.186947
1754.000000, 0.805561
1753.000000, 0.088986
1752.000000, 0.206048
1751.000000, 0.839760
1750.000000, 0.704116
1749.000000, 0.153419
1748.000000, -0.406703
1747.000000, -0.227465
1746.000000, 0.266498
1745.000000, 0.087524
1744.000000, 0.303718
1743.000000, 0.518196
1742.000000, 0.316531
1741.000000, 0.312802
1740.000000, 0.008228
1739.000000, 0.083921
1738.000000, -0.013104
1737.000000, 0.328526
1736.000000, 0.492838
1735.000000, 0.582940
1734.000000, 10.000000
1733.000000, 0.520489
1732.000000, 0.152686
1731.000000, 0.710879
1730.000000, 0.539255
1729.000000, 0.477959
1728.000000, 0.452147
1727.000000, 0.048742
1726.000000, 0.198653
1725.000000, 0.264723
1724.000000, 0.220492
1723.000000, 10.000000
1722.000000, 0.138184
1721.000000, 0.793873
1720.000000, 0.334333
1719.000000, 1.629098
1718.000000, 10.000000
1717.000000, 0.472979
1716.000000, 0.258267
1715.000000, 1.375419
1714.000000, 1.040424
1713.000000, 0.339630
1712.000000, 0.136694
1711.000000, -0.019039
1710.000000, 0.996195
1709.000000, 1.127599
1708.000000, 10.000000
1707.000000, -0.184178
1706.000000, 0.438827
1705.000000, 0.232833
